dossier,fichier,Ra_bleu,Rq_bleu,K_bleu,Ra_orange,Rq_orange,K_orange,L2,L2_norm_stable,dRa,dRq,dK,periode_um,largeur_sillon_um,profondeur_um
PMMA-DV2M,ImX0Y0.xyz,4.712118133763398,5.2664595855076115,1.1895873306596088,4.169595521736108,5.9144686376170545,1.9998559948158132,97.0403498221734,0.4061635497470963,0.13011396649845744,0.10956335924887524,0.8102686641562045,142.85714285714286,71.0,8.389528212748708
PMMA-DV2M,ImX0Y1.xyz,4.671603516776496,5.294165066910018,1.301268981536613,4.102697884149384,5.819575984990499,1.999855994815814,102.03139404753838,0.42842199032443123,0.13866622614964108,0.0902833676260245,0.6985870132792011,142.85714285714286,71.0,8.254925320220089
PMMA-DV2M,ImX0Y2.xyz,4.113952870345377,4.745716588506399,1.1013355097680837,4.027214272623385,5.7125043396241155,1.9998559948158134,84.87856653670714,0.3942389001247667,0.021538113407978555,0.16924061561086384,0.8985204850477297,142.85714285714286,71.0,8.103046826203995
PMMA-DV2M,ImX1Y0.xyz,6.881409452499145,7.646031888383735,1.326674175789617,5.618472366249366,7.969664786013524,1.9998559948158139,107.08702729263567,0.3583968418263072,0.2247830021975989,0.04060809410676258,0.6731818190261969,142.85714285714286,71.0,11.30477337273514
PMMA-DV2M,ImX1Y1.xyz,2.8035728368185926,3.2662758605483058,0.5738080271313875,2.896693150810021,4.138133072585745,1.9983993597438967,77.42308521209826,0.5220859248936629,0.032147110219592455,0.21068853919012628,1.4245913326125093,71.42857142857143,35.0,5.911618675122493
PMMA-DV2M,ImX1Y2.xyz,4.502667775923469,5.130316519875345,0.8635672241789285,4.388184440365077,6.224531639417133,1.9998559948158132,91.47528283198206,0.4013827689341186,0.026088998107123326,0.1757907555024093,1.1362887706368847,142.85714285714286,71.0,8.82934495043275
PMMA-DV2M,ImX2Y0.xyz,5.736037025666888,6.343573965370701,0.8501984910715228,5.022751941516926,7.1246500236701324,1.9998559948158132,107.84671377428664,0.46464662170066856,0.14201081248988412,0.10963009491055319,1.1496575037442904,142.85714285714286,71.0,10.106140727398245
PMMA-DV2M,ImX2Y1.xyz,5.052100017723606,5.819919559410149,0.8210002515189823,5.068644969484394,7.189748154456172,1.9998559948158134,114.57855486121571,0.41807968402867757,0.003264176493006789,0.19052525423953964,1.1788557432968312,142.85714285714286,71.0,10.198480823912261
PMMA-DV2M,ImX2Y2.xyz,4.267407594079109,5.0527836995369,1.0774935106020658,4.329356025664282,6.141084980878008,1.9998559948158132,97.5107170785227,0.4132930619952606,0.014308925211496758,0.17721645030639369,0.9223624842137474,142.85714285714286,71.0,8.710977918841614
PMMA-I,ImX0Y0.xyz,1.7066417870888297,1.8247542235944898,0.6725002845358503,1.332307161823585,1.8917490485245614,1.999743983614951,40.61505351495083,0.6693605724405897,0.28096720935799596,0.03541422419761389,1.3272436990791008,43.47826086956522,21.0,2.6861031488378737
PMMA-I,ImX0Y1.xyz,1.5216964499888967,1.6446864175960547,0.48606026643988764,1.26049720472413,1.789785761146037,1.9997439836149513,37.76327603470461,0.6990826034499605,0.20721921816711386,0.08107078886194301,1.5136837171750637,43.47826086956522,21.0,2.5413250095244555
PMMA-I,ImX1Y0.xyz,1.5788837671545262,1.727600888666675,0.6506663441975258,1.3654588247395556,1.9388212467197985,1.9997439836149513,45.40313983259355,0.708667828179051,0.15630273029703312,0.10894266730905568,1.3490776394174255,43.47826086956522,21.0,2.7529411789103944
PMMA-I,ImX1Y1.xyz,1.4058830599634125,1.541143213850863,0.38950848058879606,1.1861040026194694,1.6841545123388477,1.9997439836149524,39.73165322436148,0.8463474364055569,0.1852949293304539,0.08491578263171334,1.6102355030261564,43.47826086956522,21.0,2.3913387149586076
PMMA-II,ImX0Y0.xyz,6.358925379377082,7.539936100391409,1.419636549990536,6.156614080787289,8.777268421009339,1.9989757377888735,151.83660948581635,0.4101981356834997,0.03286080562059882,0.14097009015427187,0.5793391877983376,83.33333333333333,41.0,12.5134432536327
PMMA-II,ImX0Y1.xyz,6.603264462031171,7.8823650636516644,1.4587549477096406,6.467042725543073,9.219835634876876,1.9989757377888746,166.95287164671154,0.412523554419806,0.02106399203921429,0.1450644701480161,0.540220790079234,83.33333333333333,41.0,13.144395783624132
PMMA-II,ImX1Y0.xyz,6.112281591944473,7.372888455834236,1.425089897826891,6.15587437031721,8.749578836978474,1.9995999599959995,142.49284643462371,0.3741909180927905,0.007081492530603743,0.1573436169665574,0.5745100621691084,90.90909090909092,45.0,12.436109839024663
PMMA-II,ImX1Y1.xyz,6.641491970176289,7.915454928442455,1.3951343263429465,6.597704093273245,9.377568259921325,1.9995999599959993,145.57759629855545,0.35331045283113294,0.006636835523995066,0.155916042512618,0.6044656336530527,90.90909090909092,45.0,13.328695137925747
PMMA-III,ImX0Y0.xyz,6.358925379377082,7.539936100391409,1.419636549990536,6.156614080787289,8.777268421009339,1.9989757377888735,151.83660948581635,0.4101981356834997,0.03286080562059882,0.14097009015427187,0.5793391877983376,83.33333333333333,41.0,12.5134432536327
PMMA-III,ImX0Y1.xyz,6.603264462031171,7.8823650636516644,1.4587549477096406,6.467042725543073,9.219835634876876,1.9989757377888746,166.95287164671154,0.412523554419806,0.02106399203921429,0.1450644701480161,0.540220790079234,83.33333333333333,41.0,13.144395783624132
PMMA-III,ImX1Y0.xyz,6.112281591944473,7.372888455834236,1.425089897826891,6.15587437031721,8.749578836978474,1.9995999599959995,142.49284643462371,0.3741909180927905,0.007081492530603743,0.1573436169665574,0.5745100621691084,90.90909090909092,45.0,12.436109839024663
PMMA-III,ImX1Y1.xyz,6.641491970176289,7.915454928442455,1.3951343263429465,6.597704093273245,9.377568259921325,1.9995999599959993,145.57759629855545,0.35331045283113294,0.006636835523995066,0.155916042512618,0.6044656336530527,90.90909090909092,45.0,13.328695137925747
PMMA-IV,ImX0Y0.xyz,15.606450600781546,17.769206165239765,1.2905975669845127,12.173651311752586,17.26802480319896,1.9998559948158132,245.20384656615386,0.3306734759841329,0.2819860041263787,0.02902366470703479,0.7092584278313006,142.85714285714286,71.0,24.49426823290259
PMMA-IV,ImX0Y1.xyz,14.881226262284931,17.134885021201164,1.372699913539318,11.561842987523894,16.400189751328746,1.999855994815813,228.1106892671314,0.32722703116232854,0.28709811042607164,0.044797973743742385,0.6271560812764949,142.85714285714286,71.0,23.26326556845854
PMMA-IV,ImX1Y0.xyz,14.958445291445857,17.26536559735661,1.343064332888356,12.006830262097687,17.03139324957827,1.999855994815813,226.31452028625017,0.3208351499482883,0.24582799664167987,0.013737710376931993,0.656791661927457,142.85714285714286,71.0,24.158612197379647
PMMA-IV,ImX1Y1.xyz,15.275649137377757,17.48130956683918,1.383114131131193,12.312459993016745,17.46492150161636,1.9998559948158134,233.7440755510302,0.31295007688924925,0.2406658901666802,0.0009383417624467081,0.6167418636846205,142.85714285714286,71.0,24.773561354158442
PMMA-IX,ImX0Y0.xyz,1.45600028460525,1.565102172996845,0.9732657510924572,1.1370758887777117,1.6145392686707518,1.999743983614952,40.45463860332803,0.6652295892209579,0.28047766993842677,0.030619940086442275,1.0264782325224948,43.47826086956522,21.0,2.292491711245387
PMMA-IX,ImX0Y1.xyz,1.4104001571751255,1.505731112019542,0.851504826769891,1.072945433208415,1.5234801407301568,1.999743983614951,38.128407879824486,0.6700132052121927,0.31451247521285774,0.011650318396738819,1.14823915684506,43.47826086956522,21.0,2.163196437920191
PMMA-IX,ImX1Y0.xyz,1.2490568717220845,1.3758156679937192,0.9123620630619667,1.0239455921831873,1.4539050417638997,1.9997439836149513,29.392548781336508,0.6152567020958859,0.21984691497028686,0.05371009214978801,1.0873819205529847,43.47826086956522,21.0,2.0644064358531997
PMMA-IX,ImX1Y1.xyz,1.276332518830678,1.387251155377206,0.6668310000035009,1.0595269673646452,1.504427199546635,1.9997439836149513,31.19229416972739,0.6280602828255412,0.2046248544341366,0.07788748050071177,1.3329129836114504,43.47826086956522,21.0,2.1361430793642047
PMMA-V,ImX0Y0.xyz,5.980327095844337,6.777887090486226,1.2382585502357144,4.713423713759349,6.685875544883254,1.9998559948158139,96.27246596689254,0.3431427875498196,0.26878622823292214,0.013762078726306689,0.7615974445800995,142.85714285714286,71.0,9.483749927081185
PMMA-V,ImX0Y1.xyz,5.972857022683092,6.748780205543171,1.2274660309233034,4.661060651404123,6.611599829539857,1.9998559948158134,94.67315342941319,0.3422386059562507,0.28143730995729416,0.020748439037463783,0.77238996389251,142.85714285714286,71.0,9.378391652724593
PMMA-V,ImX1Y0.xyz,5.811878520646669,6.621809228634308,1.2977442580881213,4.574251991997424,6.488463882453864,1.9998559948158137,88.6480483048679,0.3367092205524741,0.2705636967124792,0.020551142550247807,0.7021117367276923,142.85714285714286,71.0,9.203726342047132
PMMA-V,ImX1Y1.xyz,5.8181021649221085,6.624300974024612,1.3144022121569694,4.645803220592252,6.589957539404759,1.9998559948158134,88.23432507796173,0.34945240985159304,0.2523350406090619,0.005211480410077858,0.685453782658844,142.85714285714286,71.0,9.347692596765095
PMMA-VI,ImX0Y0.xyz,12.125039176892127,14.615591431113454,1.619614255704395,10.907460251944634,15.471963944675421,1.999855994815814,164.8992399976694,0.2536721332871663,0.1116280872745254,0.05534995535306181,0.380241739111419,142.85714285714286,71.0,21.946600104516367
PMMA-VI,ImX0Y1.xyz,12.003687113817048,14.67503055036974,1.6290068601828493,10.995451692322716,15.596777637462159,1.9998559948158132,161.03920355934278,0.2478693985404376,0.09169568015093965,0.05909855923562434,0.3708491346329639,142.85714285714286,71.0,22.12364525618253
PMMA-VI,ImX1Y0.xyz,12.795935757873744,15.153047686818015,1.5801795473351552,11.51880352933773,16.339139339053716,1.9998559948158134,180.95601769202,0.25896151757437463,0.11087368799053067,0.07259205198163111,0.41967644748065824,142.85714285714286,71.0,23.17666706104171
PMMA-VI,ImX1Y1.xyz,12.474017741264724,14.955931366981744,1.5940898356562498,11.384774184164769,16.14902201126655,1.9998559948158132,173.2593115854779,0.2537390886901985,0.09567546439480533,0.07388005561280625,0.4057661591595634,142.85714285714286,71.0,22.906990310190686
PMMA-VII,ImX0Y0.xyz,1.187242009237706,1.2840400248378496,0.2548997029587228,1.0395569153760278,1.4760716311529738,1.999743983614952,28.91746570852562,0.5585278579535938,0.14206542391020285,0.13009640065037117,1.7448442806562292,43.47826086956522,21.0,2.0958808777742495
PMMA-VII,ImX0Y1.xyz,0.8474226302051502,0.9481839554755529,0.8017940317094672,0.7695026219538026,1.0926203015570188,1.9997439836149513,20.307527787631773,0.6833985474013141,0.10126022449865746,0.1321926252657392,1.1979499519054841,43.47826086956522,21.0,1.5514165765197638
PMMA-VII,ImX1Y0.xyz,1.3133861646319238,1.3991438388839788,0.4251559928506192,1.0041770572626358,1.4258356083792663,1.9997439836149518,35.31748988503836,0.6441870020520264,0.3079228958010503,0.01872008900495043,1.5745879907643325,43.47826086956522,21.0,2.024550518674669
PMMA-VII,ImX1Y1.xyz,1.130661088397316,1.2296548747840756,0.6062579433062409,0.949694096865765,1.3484750030737236,1.999743983614951,33.55776880545142,0.7009506044494113,0.19055292870492582,0.08811444633293794,1.3934860403087101,43.47826086956522,21.0,1.9147058404551711
PMMA-VIII,ImX0Y0.xyz,3.826455925965567,4.653289046969768,1.210244872046981,4.014948055935823,5.72397040336365,1.9989757377888737,107.48507973570423,0.45416672201042174,0.04694758869708986,0.1870522174196959,0.7887308657418928,83.33333333333333,41.0,8.160463528324843
PMMA-VIII,ImX0Y1.xyz,4.479292463303313,5.203299572518195,1.3287996258130537,4.276983648396367,6.079039851195585,1.999599959995999,102.37634129947865,0.39673037338459416,0.047301750845552215,0.14405897972607554,0.6708003341829454,90.90909090909092,45.0,8.640371006861349
PMMA-VIII,ImX1Y0.xyz,3.9836407579376356,4.802255394710845,1.4001359227671684,3.952622728511851,5.635115373464238,1.998975737788874,98.15389128826665,0.3978996153602399,0.007847455109246575,0.14779821238005725,0.5988398150217056,83.33333333333333,41.0,8.033786033560673
